features,ml,acc,ci,set,AOI_setting
"(' AOI Name', 'Text ID')",svc,0.5016666666666666,"(0.47987431841850836, 0.5234590149148248)",set_1,Title_para_questions
"(' AOI Name', 'Text ID')",logistic,0.4416666666666667,"(0.4089743426403638, 0.4743589906929696)",set_1,Title_para_questions
"(' AOI Name', 'Text ID')",logisticCV,0.44166666666666665,"(0.4153381026490241, 0.4679952306843092)",set_1,Title_para_questions
"(' AOI Name', 'Text ID')",XGBClassifier,0.4866666666666666,"(0.4538714435047924, 0.5194618898285408)",set_1,Title_para_questions
"(' AOI Name', 'Text ID')",ensemble,0.4550000000000001,"(0.4238724554480144, 0.48612754455198576)",set_1,Title_para_questions
"('Paragraph_Number',)",randomForest,0.4933333333333333,"(0.4515763761726651, 0.5350902904940015)",set_1,Title_para_questions
"('Paragraph_Number',)",kNeigh,0.4216666666666666,"(0.3827766711471414, 0.46055666218619173)",set_1,Title_para_questions
"('Paragraph_Number',)",svc,0.495,"(0.4732279378611937, 0.5167720621388062)",set_1,Title_para_questions
"('Paragraph_Number',)",logistic,0.4533333333333334,"(0.42248205577109654, 0.4841846108955702)",set_1,Title_para_questions
"('Paragraph_Number',)",logisticCV,0.46,"(0.4291344029765316, 0.49086559702346844)",set_1,Title_para_questions
"('Paragraph_Number',)",XGBClassifier,0.4916666666666666,"(0.45308467038733113, 0.5302486629460021)",set_1,Title_para_questions
"('Paragraph_Number',)",ensemble,0.475,"(0.4393961752243151, 0.5106038247756848)",set_1,Title_para_questions
"(' AOI Name', 'Paragraph_Number')",randomForest,0.5016666666666667,"(0.46665101336434545, 0.536682319968988)",set_1,Title_para_questions
"(' AOI Name', 'Paragraph_Number')",kNeigh,0.44,"(0.40593584153451506, 0.47406415846548494)",set_1,Title_para_questions
"(' AOI Name', 'Paragraph_Number')",svc,0.4816666666666666,"(0.45967248638872393, 0.5036608469446093)",set_1,Title_para_questions
"(' AOI Name', 'Paragraph_Number')",logistic,0.43,"(0.39911293623206323, 0.46088706376793664)",set_1,Title_para_questions
"(' AOI Name', 'Paragraph_Number')",logisticCV,0.44833333333333336,"(0.42104870538969064, 0.4756179612769761)",set_1,Title_para_questions
"(' AOI Name', 'Paragraph_Number')",XGBClassifier,0.4966666666666666,"(0.46026355260688534, 0.533069780726448)",set_1,Title_para_questions
"(' AOI Name', 'Paragraph_Number')",ensemble,0.4483333333333333,"(0.42064678909525427, 0.47601987757141234)",set_1,Title_para_questions
"('Text ID', 'Paragraph_Number')",randomForest,0.465,"(0.42790102584986706, 0.502098974150133)",set_1,Title_para_questions
"('Text ID', 'Paragraph_Number')",kNeigh,0.4516666666666666,"(0.41547201991441973, 0.4878613134189136)",set_1,Title_para_questions
"('Text ID', 'Paragraph_Number')",svc,0.49,"(0.4656575272520984, 0.5143424727479016)",set_1,Title_para_questions
"('Text ID', 'Paragraph_Number')",logistic,0.44833333333333336,"(0.4202506243886605, 0.4764160422780062)",set_1,Title_para_questions
"('Text ID', 'Paragraph_Number')",logisticCV,0.455,"(0.4284708026516695, 0.48152919734833055)",set_1,Title_para_questions
"('Text ID', 'Paragraph_Number')",XGBClassifier,0.5266666666666668,"(0.4918963736915611, 0.5614369596417725)",set_1,Title_para_questions
"('Text ID', 'Paragraph_Number')",ensemble,0.4416666666666667,"(0.4129306937028763, 0.47040263963045714)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number')",randomForest,0.45,"(0.4152996738428385, 0.4847003261571615)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number')",kNeigh,0.435,"(0.40350553077042073, 0.46649446922957927)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number')",svc,0.5133333333333333,"(0.4886036617639199, 0.5380630049027467)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number')",logistic,0.435,"(0.4021324349647055, 0.4678675650352945)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number')",logisticCV,0.4566666666666667,"(0.42901006354715293, 0.4843232697861805)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number')",XGBClassifier,0.4866666666666667,"(0.45222837821677964, 0.5211049551165537)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number')",ensemble,0.4533333333333334,"(0.4214259242142201, 0.48524074245244675)",set_1,Title_para_questions
"('Answer',)",randomForest,0.5033333333333334,"(0.45728375280411465, 0.5493829138625522)",set_1,Title_para_questions
"('Answer',)",kNeigh,0.4616666666666666,"(0.42154629136016286, 0.5017870419731705)",set_1,Title_para_questions
"('Answer',)",svc,0.5166666666666666,"(0.49591023894969355, 0.5374230943836397)",set_1,Title_para_questions
"('Answer',)",logistic,0.445,"(0.4120787023202127, 0.4779212976797873)",set_1,Title_para_questions
"('Answer',)",logisticCV,0.44,"(0.40692303728439727, 0.47307696271560273)",set_1,Title_para_questions
"('Answer',)",XGBClassifier,0.5033333333333333,"(0.4701030968760274, 0.5365635697906391)",set_1,Title_para_questions
"('Answer',)",ensemble,0.4316666666666665,"(0.39709551333857207, 0.4662378199947612)",set_1,Title_para_questions
"(' AOI Name', 'Answer')",randomForest,0.4666666666666666,"(0.4225729566331403, 0.5107603767001929)",set_1,Title_para_questions
"(' AOI Name', 'Answer')",kNeigh,0.43833333333333335,"(0.39691238691862196, 0.47975427974804474)",set_1,Title_para_questions
"(' AOI Name', 'Answer')",svc,0.4783333333333333,"(0.4554722513075617, 0.5011944153591049)",set_1,Title_para_questions
"(' AOI Name', 'Answer')",logistic,0.3983333333333334,"(0.3625685305271358, 0.43409813613953097)",set_1,Title_para_questions
"(' AOI Name', 'Answer')",logisticCV,0.425,"(0.39130920779036094, 0.45869079220963904)",set_1,Title_para_questions
"(' AOI Name', 'Answer')",XGBClassifier,0.4783333333333333,"(0.4402469960980306, 0.516419670568636)",set_1,Title_para_questions
"(' AOI Name', 'Answer')",ensemble,0.4166666666666666,"(0.3813353738080465, 0.45199795952528676)",set_1,Title_para_questions
"('Text ID', 'Answer')",randomForest,0.4,"(0.36095550131116017, 0.4390444986888399)",set_1,Title_para_questions
"('Text ID', 'Answer')",kNeigh,0.4333333333333333,"(0.3960250230135369, 0.47064164365312966)",set_1,Title_para_questions
"('Text ID', 'Answer')",svc,0.5,"(0.47951140837788314, 0.5204885916221169)",set_1,Title_para_questions
"('Text ID', 'Answer')",logistic,0.42,"(0.3897270544627118, 0.4502729455372882)",set_1,Title_para_questions
"('Text ID', 'Answer')",logisticCV,0.435,"(0.40531107036398206, 0.46468892963601793)",set_1,Title_para_questions
"('Text ID', 'Answer')",XGBClassifier,0.4799999999999999,"(0.44290549264587975, 0.5170945073541201)",set_1,Title_para_questions
"('Text ID', 'Answer')",ensemble,0.4133333333333332,"(0.3812877364341629, 0.4453789302325035)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Answer')",randomForest,0.4216666666666667,"(0.38634944659459, 0.4569838867387434)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Answer')",kNeigh,0.4599999999999999,"(0.42739395564108335, 0.4926060443589165)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Answer')",svc,0.5016666666666667,"(0.4820062698529549, 0.5213270634803785)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Answer')",logistic,0.425,"(0.397043452957715, 0.452956547042285)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Answer')",logisticCV,0.4516666666666666,"(0.4271095793159897, 0.4762237540173436)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Answer')",XGBClassifier,0.4566666666666667,"(0.4228956367279755, 0.49043769660535796)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Answer')",ensemble,0.4216666666666667,"(0.38928670766109336, 0.45404662567224)",set_1,Title_para_questions
"('Paragraph_Number', 'Answer')",randomForest,0.4649999999999999,"(0.42288085399932684, 0.507119146000673)",set_1,Title_para_questions
"('Paragraph_Number', 'Answer')",kNeigh,0.4616666666666666,"(0.4256065616030741, 0.49772677173025925)",set_1,Title_para_questions
"('Paragraph_Number', 'Answer')",svc,0.51,"(0.48520786839929997, 0.5347921316007)",set_1,Title_para_questions
"('Paragraph_Number', 'Answer')",logistic,0.46,"(0.42739395564108346, 0.4926060443589166)",set_1,Title_para_questions
"('Paragraph_Number', 'Answer')",logisticCV,0.455,"(0.42317058515328865, 0.4868294148467114)",set_1,Title_para_questions
"('Paragraph_Number', 'Answer')",XGBClassifier,0.5016666666666666,"(0.4622014525718483, 0.5411318807614849)",set_1,Title_para_questions
"('Paragraph_Number', 'Answer')",ensemble,0.4666666666666666,"(0.42995532782878126, 0.5033780055045519)",set_1,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Answer')",randomForest,0.40166666666666656,"(0.35933821869505655, 0.44399511463827657)",set_1,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Answer')",kNeigh,0.445,"(0.40708809160558185, 0.48291190839441805)",set_1,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Answer')",svc,0.4716666666666667,"(0.4442366704297059, 0.4990966629036276)",set_1,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Answer')",logistic,0.39666666666666656,"(0.36093740230765087, 0.43239593102568225)",set_1,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Answer')",logisticCV,0.4166666666666666,"(0.3822861660072916, 0.45104716732604166)",set_1,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Answer')",XGBClassifier,0.4383333333333333,"(0.3971799496077355, 0.4794867170589311)",set_1,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Answer')",ensemble,0.4199999999999999,"(0.38374893369378765, 0.4562510663062122)",set_1,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Answer')",randomForest,0.4033333333333333,"(0.36284977107960303, 0.4438168955870635)",set_1,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Answer')",kNeigh,0.415,"(0.38126988382925475, 0.4487301161707452)",set_1,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Answer')",svc,0.4833333333333333,"(0.4642401968152641, 0.5024264698514026)",set_1,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Answer')",logistic,0.3899999999999999,"(0.3594582146760629, 0.4205417853239369)",set_1,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Answer')",logisticCV,0.4233333333333333,"(0.397838238020215, 0.44882842864645167)",set_1,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Answer')",XGBClassifier,0.4683333333333334,"(0.4299465303117444, 0.5067201363549223)",set_1,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Answer')",ensemble,0.4233333333333333,"(0.3899571458438812, 0.4567095208227855)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer')",randomForest,0.3983333333333333,"(0.35875631162275623, 0.4379103550439103)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer')",kNeigh,0.4316666666666666,"(0.39677743548770933, 0.46655589784562385)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer')",svc,0.4983333333333334,"(0.4781188580075499, 0.5185478086591168)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer')",logistic,0.4099999999999999,"(0.37763198396783065, 0.4423680160321692)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer')",logisticCV,0.44166666666666665,"(0.4117996686312432, 0.4715336647020901)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer')",XGBClassifier,0.4783333333333334,"(0.4420289778775949, 0.514637688789072)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer')",ensemble,0.43333333333333335,"(0.39692415057065755, 0.46974251609600914)",set_1,Title_para_questions
"('Difficulty_1',)",randomForest,0.4366666666666667,"(0.4000215884008378, 0.4733117449324956)",set_1,Title_para_questions
"('Difficulty_1',)",kNeigh,0.4583333333333334,"(0.4266709483825991, 0.4899957182840676)",set_1,Title_para_questions
"('Difficulty_1',)",svc,0.4866666666666667,"(0.461494251888677, 0.5118390814446564)",set_1,Title_para_questions
"('Difficulty_1',)",logistic,0.4300000000000001,"(0.39947268602741987, 0.46052731397258023)",set_1,Title_para_questions
"('Difficulty_1',)",logisticCV,0.46,"(0.435977295893146, 0.48402270410685405)",set_1,Title_para_questions
"('Difficulty_1',)",XGBClassifier,0.5083333333333333,"(0.470328296598047, 0.5463383700686196)",set_1,Title_para_questions
"('Difficulty_1',)",ensemble,0.46,"(0.43060085306817997, 0.4893991469318201)",set_1,Title_para_questions
"(' AOI Name', 'Difficulty_1')",randomForest,0.4583333333333333,"(0.42211427815093144, 0.4945523885157351)",set_1,Title_para_questions
"(' AOI Name', 'Difficulty_1')",kNeigh,0.4666666666666667,"(0.4314920543710133, 0.5018412789623201)",set_1,Title_para_questions
"(' AOI Name', 'Difficulty_1')",svc,0.5,"(0.4774576481716242, 0.5225423518283756)",set_1,Title_para_questions
"(' AOI Name', 'Difficulty_1')",logistic,0.4433333333333334,"(0.41137749051750633, 0.4752891761491605)",set_1,Title_para_questions
"(' AOI Name', 'Difficulty_1')",logisticCV,0.4416666666666666,"(0.41000428171593234, 0.47332905161740085)",set_1,Title_para_questions
"(' AOI Name', 'Difficulty_1')",XGBClassifier,0.4816666666666666,"(0.4468408186469284, 0.5164925146864048)",set_1,Title_para_questions
"(' AOI Name', 'Difficulty_1')",ensemble,0.4483333333333333,"(0.4165594975574595, 0.4801071691092071)",set_1,Title_para_questions
"('Text ID', 'Difficulty_1')",randomForest,0.4283333333333333,"(0.3909495943493396, 0.46571707231732706)",set_1,Title_para_questions
"('Text ID', 'Difficulty_1')",kNeigh,0.4483333333333334,"(0.41421247008691353, 0.4824541965797533)",set_1,Title_para_questions
"('Text ID', 'Difficulty_1')",svc,0.4933333333333333,"(0.4734355678294419, 0.5132310988372247)",set_1,Title_para_questions
"('Text ID', 'Difficulty_1')",logistic,0.4366666666666667,"(0.4045178187312998, 0.4688155146020336)",set_1,Title_para_questions
"('Text ID', 'Difficulty_1')",logisticCV,0.445,"(0.41600379450934866, 0.47399620549065136)",set_1,Title_para_questions
"('Text ID', 'Difficulty_1')",XGBClassifier,0.5083333333333333,"(0.4697513370539978, 0.5469153296126688)",set_1,Title_para_questions
"('Text ID', 'Difficulty_1')",ensemble,0.4566666666666666,"(0.4228956367279754, 0.4904376966053579)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Difficulty_1')",randomForest,0.43666666666666665,"(0.39796888339840414, 0.47536444993492916)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Difficulty_1')",kNeigh,0.49,"(0.4542583704340527, 0.5257416295659472)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Difficulty_1')",svc,0.505,"(0.48593291735331423, 0.5240670826466858)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Difficulty_1')",logistic,0.4583333333333334,"(0.4212105453483482, 0.4954561213183187)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Difficulty_1')",logisticCV,0.4749999999999999,"(0.44867143598235737, 0.5013285640176425)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Difficulty_1')",XGBClassifier,0.5033333333333333,"(0.4687989467844911, 0.5378677198821755)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Difficulty_1')",ensemble,0.4799999999999999,"(0.4513005709073785, 0.5086994290926213)",set_1,Title_para_questions
"('Paragraph_Number', 'Difficulty_1')",randomForest,0.4583333333333334,"(0.41975133705399786, 0.4969153296126689)",set_1,Title_para_questions
"('Paragraph_Number', 'Difficulty_1')",kNeigh,0.44833333333333336,"(0.41023539590367486, 0.48643127076299186)",set_1,Title_para_questions
"('Paragraph_Number', 'Difficulty_1')",svc,0.495,"(0.4674093817124493, 0.5225906182875506)",set_1,Title_para_questions
"('Paragraph_Number', 'Difficulty_1')",logistic,0.445,"(0.41380155786260037, 0.47619844213739965)",set_1,Title_para_questions
"('Paragraph_Number', 'Difficulty_1')",logisticCV,0.46,"(0.43420338099862976, 0.4857966190013703)",set_1,Title_para_questions
"('Paragraph_Number', 'Difficulty_1')",XGBClassifier,0.5050000000000001,"(0.4647147570364883, 0.5452852429635119)",set_1,Title_para_questions
"('Paragraph_Number', 'Difficulty_1')",ensemble,0.49,"(0.4548819638308006, 0.5251180361691994)",set_1,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Difficulty_1')",randomForest,0.4533333333333333,"(0.41600134271263167, 0.49066532395403495)",set_1,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Difficulty_1')",kNeigh,0.4599999999999999,"(0.41953281348842975, 0.5004671865115701)",set_1,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Difficulty_1')",svc,0.4950000000000001,"(0.4732279378611938, 0.5167720621388063)",set_1,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Difficulty_1')",logistic,0.4266666666666665,"(0.39833916813941805, 0.4549941651939152)",set_1,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Difficulty_1')",logisticCV,0.4566666666666666,"(0.4333439395990763, 0.47998939373425703)",set_1,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Difficulty_1')",XGBClassifier,0.4883333333333333,"(0.455681583103646, 0.5209850835630208)",set_1,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Difficulty_1')",ensemble,0.4433333333333333,"(0.4110336475779897, 0.4756330190886769)",set_1,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Difficulty_1')",randomForest,0.4150000000000001,"(0.3749788712903042, 0.45502112870969597)",set_1,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Difficulty_1')",kNeigh,0.4316666666666665,"(0.39741654502293333, 0.46591678831039995)",set_1,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Difficulty_1')",svc,0.49,"(0.47130443711953973, 0.5086955628804603)",set_1,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Difficulty_1')",logistic,0.43333333333333335,"(0.4075881533043849, 0.4590785133622818)",set_1,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Difficulty_1')",logisticCV,0.4566666666666667,"(0.43287499989669426, 0.4804583334366392)",set_1,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Difficulty_1')",XGBClassifier,0.5283333333333333,"(0.4910087411927814, 0.5656579254738853)",set_1,Title_para_questions
"('Text ID', 'Paragraph_Number', 'Difficulty_1')",ensemble,0.4433333333333333,"(0.4138966347871112, 0.4727700318795554)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Difficulty_1')",randomForest,0.4599999999999999,"(0.42295317198095056, 0.49704682801904926)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Difficulty_1')",kNeigh,0.4466666666666667,"(0.41184557703485675, 0.4814877562984767)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Difficulty_1')",svc,0.5216666666666667,"(0.5024840598933326, 0.5408492734400009)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Difficulty_1')",logistic,0.4516666666666666,"(0.42003220577379613, 0.4833011275595372)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Difficulty_1')",logisticCV,0.4649999999999999,"(0.43553516914968, 0.49446483085031984)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Difficulty_1')",XGBClassifier,0.5150000000000001,"(0.47796062742125067, 0.5520393725787496)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Difficulty_1')",ensemble,0.465,"(0.429421005721469, 0.500578994278531)",set_1,Title_para_questions
"('Answer', 'Difficulty_1')",randomForest,0.4050000000000001,"(0.36791293850142254, 0.4420870614985776)",set_1,Title_para_questions
"('Answer', 'Difficulty_1')",kNeigh,0.4599999999999999,"(0.42265617485986307, 0.49734382514013675)",set_1,Title_para_questions
"('Answer', 'Difficulty_1')",svc,0.4833333333333333,"(0.46367012728951307, 0.5029965393771536)",set_1,Title_para_questions
"('Answer', 'Difficulty_1')",logistic,0.4283333333333333,"(0.399261032171903, 0.45740563449476357)",set_1,Title_para_questions
"('Answer', 'Difficulty_1')",logisticCV,0.4416666666666666,"(0.41533810264902404, 0.46799523068430915)",set_1,Title_para_questions
"('Answer', 'Difficulty_1')",XGBClassifier,0.4783333333333333,"(0.44326723880086194, 0.5133994278658047)",set_1,Title_para_questions
"('Answer', 'Difficulty_1')",ensemble,0.4283333333333333,"(0.392766760804078, 0.46389990586258856)",set_1,Title_para_questions
"(' AOI Name', 'Answer', 'Difficulty_1')",randomForest,0.37,"(0.33193542265748377, 0.4080645773425162)",set_1,Title_para_questions
"(' AOI Name', 'Answer', 'Difficulty_1')",kNeigh,0.4366666666666667,"(0.4003242953724786, 0.4730090379608548)",set_1,Title_para_questions
"(' AOI Name', 'Answer', 'Difficulty_1')",svc,0.4766666666666666,"(0.45362988494753637, 0.4997034483857969)",set_1,Title_para_questions
"(' AOI Name', 'Answer', 'Difficulty_1')",logistic,0.4133333333333333,"(0.3799372928506577, 0.44672937381600897)",set_1,Title_para_questions
"(' AOI Name', 'Answer', 'Difficulty_1')",logisticCV,0.4533333333333333,"(0.425493598265819, 0.4811730684008476)",set_1,Title_para_questions
"(' AOI Name', 'Answer', 'Difficulty_1')",XGBClassifier,0.44666666666666655,"(0.4099914551186586, 0.4833418782146745)",set_1,Title_para_questions
"(' AOI Name', 'Answer', 'Difficulty_1')",ensemble,0.3999999999999999,"(0.36643239208658074, 0.4335676079134191)",set_1,Title_para_questions
"('Text ID', 'Answer', 'Difficulty_1')",randomForest,0.38666666666666666,"(0.3499914551186587, 0.4233418782146746)",set_1,Title_para_questions
"('Text ID', 'Answer', 'Difficulty_1')",kNeigh,0.4283333333333333,"(0.39501180256552365, 0.46165486410114304)",set_1,Title_para_questions
"('Text ID', 'Answer', 'Difficulty_1')",svc,0.4866666666666667,"(0.4623878107194241, 0.5109455226139092)",set_1,Title_para_questions
"('Text ID', 'Answer', 'Difficulty_1')",logistic,0.42,"(0.3883010020536924, 0.4516989979463076)",set_1,Title_para_questions
"('Text ID', 'Answer', 'Difficulty_1')",logisticCV,0.465,"(0.43371669285132314, 0.4962833071486769)",set_1,Title_para_questions
"('Text ID', 'Answer', 'Difficulty_1')",XGBClassifier,0.4866666666666666,"(0.4503547048592647, 0.5229786284740686)",set_1,Title_para_questions
"('Text ID', 'Answer', 'Difficulty_1')",ensemble,0.4366666666666667,"(0.4035029839241901, 0.4698303494091433)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Answer', 'Difficulty_1')",randomForest,0.435,"(0.39570309379028185, 0.47429690620971815)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Answer', 'Difficulty_1')",kNeigh,0.4733333333333332,"(0.4355191644040063, 0.5111475022626601)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Answer', 'Difficulty_1')",svc,0.4716666666666667,"(0.45009851501089426, 0.4932348183224392)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Answer', 'Difficulty_1')",logistic,0.3966666666666667,"(0.3681603458705634, 0.42517298746277005)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Answer', 'Difficulty_1')",logisticCV,0.4283333333333333,"(0.3981426042216805, 0.45852406244498606)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Answer', 'Difficulty_1')",XGBClassifier,0.4666666666666666,"(0.4337638296859313, 0.49956950364740194)",set_1,Title_para_questions
"(' AOI Name', 'Text ID', 'Answer', 'Difficulty_1')",ensemble,0.4199999999999999,"(0.3904658907048913, 0.44953410929510856)",set_1,Title_para_questions
"('Paragraph_Number', 'Answer', 'Difficulty_1')",randomForest,0.4033333333333333,"(0.3625778107311662, 0.44408885593550035)",set_1,Title_para_questions
"('Paragraph_Number', 'Answer', 'Difficulty_1')",kNeigh,0.4233333333333333,"(0.38502575120503074, 0.4616409154616358)",set_1,Title_para_questions
"('Paragraph_Number', 'Answer', 'Difficulty_1')",svc,0.4866666666666667,"(0.46478073975034756, 0.5085525935829859)",set_1,Title_para_questions
"('Paragraph_Number', 'Answer', 'Difficulty_1')",logistic,0.4283333333333333,"(0.394681911037475, 0.46198475562919156)",set_1,Title_para_questions
"('Paragraph_Number', 'Answer', 'Difficulty_1')",logisticCV,0.4433333333333333,"(0.41352372026765843, 0.47314294639900817)",set_1,Title_para_questions
"('Paragraph_Number', 'Answer', 'Difficulty_1')",XGBClassifier,0.4816666666666666,"(0.4432223509856314, 0.5201109823477018)",set_1,Title_para_questions
"('Paragraph_Number', 'Answer', 'Difficulty_1')",ensemble,0.43,"(0.39670334285587694, 0.46329665714412294)",set_1,Title_para_questions
"(' AOI Name', 'Paragraph_Number', 'Answer', 'Difficulty_1')",randomForest,0.4066666666666666,"(0.36614492008378813, 0.4471884132495451)",set_1,Title_para_questions
